chr	strand	start	end	name	commonName
2	+	650248	651320	YBR213W	MET8
2	+	651320	653128	YBR214W	SDS24
2	+	653288	655424	YBR215W	HPC2
2	+	657776	658680	YBR217W	ATG12
2	+	670488	673520	YBR224W, YBR225W	YBR224W, YBR225W
2	+	675312	676344	YBR228W	SLX1
2	+	680280	680704	YBR230W-A	YBR230W-A
2	+	683304	684792	YBR233W	PBP2
2	+	684936	685504	YBR233W-A	DAD3
2	+	686816	690328	YBR235W	YBR235W
2	+	691920	694632	YBR237W	PRP5
2	+	704512	705448	YBR242W	YBR242W
2	+	707312	708160	YBR244W	GPX2
2	+	711552	712896	YBR246W	YBR246W
2	+	718328	720624	YBR250W	SPO23
2	+	721320	722392	YBR251W	MRPS5
2	+	722576	723120	YBR252W	DUT1
2	+	723216	723712	YBR253W	SRB6
2	+	724392	726672	YBR255W	YBR255W
2	+	728840	729856	YBR257W	POP4
2	+	730336	732592	YBR259W	YBR259W
2	+	736184	737808	YBR263W	SHM1
2	+	738520	739624	YBR265W	TSC10
2	+	739816	741104	YBR267W	REI1
2	+	741272	741752	YBR268W	MRPL37
2	+	744824	746208	YBR271W	YBR271W
2	+	749544	751384	YBR274W	CHK1
2	+	760256	761064	YBR278W	DPB3
2	+	761216	762736	YBR279W	PAF1
2	+	768208	768760	YBR282W	MRPL27
2	+	770888	773776	YBR284W	YBR284W
2	+	773776	774368	YBR285W	YBR285W
2	+	774664	776376	YBR286W	APE3
2	+	776496	778016	YBR287W	ZSP1
2	+	779648	782408	YBR289W	SNF5
2	+	782560	783672	YBR290W	BSD2
2	+	787088	788656	YBR293W	VBA2
2	+	792792	796600	YBR295W	PCA1
2	+	800480	802144	YBR297W	MAL33
3	+	17249	18649	YCL063W	VAC17
3	+	23561	23977	YCL058W-A	YCL058W-A
3	+	24753	27033	YCL057W	PRD1
3	+	27897	28945	YCL055W	KAR4
3	+	31433	34065	YCL054W	SPB1
3	+	35569	37689	YCL051W	LRE1
3	+	41417	41809	YCL048W-A	YCL048W-A
3	+	50793	52537	YCL042W, YCL040W	YCL042W, GLK1
3	+	52625	54905	YCL039W	GID7
3	+	58969	60809	YCL036W	GFD2
3	+	61617	62745	YCL034W	LSB5
3	+	63401	64689	YCL032W	STE50
3	+	70089	71457	YCL028W	RNQ1
3	+	79106	82322	YCL024W	KCC4
3	+	91114	92586	YCL018W	LEU2
3	+	96186	101258	YCL014W	BUD3
3	+	106962	107530	YCL005W-A	VMA9
3	+	107970	108866	YCL005W	LDB16
3	+	109018	111810	YCL004W	PGS1
3	+	111842	112514	YCL001W	RER1
3	+	118602	119290	YCR003W	MRPL32
3	+	128010	130538	YCR008W	SAT4
3	+	137674	139058	YCR012W	PGK1
3	+	143602	144674	YCR016W	YCR016W
3	+	152698	154018	YCR019W	MAK32
3	+	155274	155914	YCR020W-B	HTL1
3	+	179410	186050	YCR032W	BPH1
3	+	186282	190330	YCR033W	SNT1
3	+	190546	191874	YCR034W	FEN1
3	+	193258	194378	YCR036W	RBK1
3	+	211842	213858	YCR048W	ARE1
3	+	214050	214882	YCR051W	YCR051W
3	+	214882	216634	YCR052W	RSC6
3	+	216634	218314	YCR053W	THR4
3	+	224378	224746	YCR060W	TAH1
3	+	225514	227794	YCR061W	YCR061W
3	+	228290	229274	YCR063W	BUD31
3	+	229274	231314	YCR065W	HCM1
3	+	231450	233082	YCR066W	RAD18
3	+	237074	238890	YCR068W	ATG15
3	+	238890	240098	YCR069W	CPR4
3	+	246930	247914	YCR073W-A	SOL2
3	+	248946	249290	YCR075W-A	YCR075W-A
3	+	252794	254202	YCR079W	PTC6
3	+	254322	258842	YCR081W	SRB8
3	+	258842	259370	YCR082W	AHC2
3	+	259554	260074	YCR083W	TRX3
3	+	263298	263970	YCR086W	CSM1
3	+	265026	266938	YCR088W	ABP1
3	+	267146	272290	YCR089W	FIG2
3	+	274354	277474	YCR091W	KIN82
3	+	280042	286522	YCR093W	CDC39
3	+	286706	288202	YCR094W	CDC50
3	+	289498	291202	YCR095W-A	YCR095W-A
4	+	20193	21761	YDL241W	YDL241W
4	+	22641	26185	YDL240W	LRG1
4	+	30625	32065	YDL237W	YDL237W
4	+	32249	33409	YDL236W	PHO13
4	+	36777	38377	YDL233W	YDL233W
4	+	38465	38889	YDL232W	OST4
4	+	42657	43713	YDL230W	PTP1
4	+	44041	46009	YDL229W	SSB1
4	+	52393	54193	YDL225W	SHS1
4	+	65201	65985	YDL219W	DTD1
4	+	78361	79249	YDL212W	SHR3
4	+	84537	85937	YDL210W	UGA4
4	+	87465	88097	YDL208W	NHP2
4	+	88217	89905	YDL207W	GLE1
4	+	90025	92457	YDL206W	YDL206W
4	+	94121	95785	YDL204W	RTN2
4	+	98425	99321	YDL202W	MRPL11
4	+	99497	100449	YDL201W	TRM8
4	+	107089	111169	YDL195W	SEC31
4	+	111369	114273	YDL194W	SNF3
4	+	114569	116001	YDL193W	NUS1
4	+	116265	117041	YDL192W	ARF1
4	+	117617	118705	YDL191W	RPL35A
4	+	121969	123769	YDL189W	RBS1
4	+	126681	130169	YDL185W	TFP1
4	+	133409	134761	YDL182W	LYS20
4	+	135009	135537	YDL181W	INH1
4	+	135729	137633	YDL180W	YDL180W
4	+	138105	139329	YDL179W	PCL9
4	+	139489	141137	YDL178W	DLD2
4	+	141953	144281	YDL176W	YDL176W
4	+	148153	149097	YDL173W	YDL173W
4	+	156313	157961	YDL170W	UGA3
4	+	159537	160913	YDL168W	SFA1
4	+	164241	164937	YDL165W	CDC36
4	+	167697	169249	YDL161W	ENT1
4	+	172433	174145	YDL159W	STE7
4	+	174825	176633	YDL156W	YDL156W
4	+	176633	178201	YDL155W	CLB3
4	+	178201	181097	YDL154W	MSH5
4	+	183233	184713	YDL150W	RPC53
4	+	184897	187977	YDL149W	ATG9
4	+	190873	192401	YDL147W	RPN5
4	+	192569	194425	YDL146W	LDB17
4	+	199961	201697	YDL143W	CCT4
4	+	202809	205345	YDL141W	BPL1
4	+	213065	215753	YDL138W	RGT2
4	+	216009	217217	YDL137W	ARF2
4	+	217529	218497	YDL136W	RPL35B
4	+	222281	223833	YDL133W	YDL133W
4	+	224001	226785	YDL132W	CDC53
4	+	227313	228785	YDL131W	LYS21
4	+	229113	229593	YDL130W-A	STF1
4	+	229809	230625	YDL130W	RPP1B
4	+	230897	232241	YDL129W	YDL129W
4	+	232569	234033	YDL128W	VCX1
4	+	234865	236001	YDL127W	PCL2
4	+	240177	241217	YDL124W	YDL124W
4	+	241385	242241	YDL123W	SNA4
4	+	242241	244993	YDL122W	UBP1
4	+	245841	246601	YDL120W	YFH1
4	+	248201	251305	YDL117W	CYK3
4	+	251513	253785	YDL116W	NUP84
4	+	258849	263377	YDL112W	TRM3
4	+	267649	268753	YDL108W	KIN28
4	+	268881	270113	YDL107W	MSS2
4	+	272345	273665	YDL105W	NSE4
4	+	276785	280337	YDL102W	POL3
4	+	283361	284529	YDL099W	BUG1
4	+	286993	289601	YDL095W	PMT1
4	+	289881	292353	YDL093W	PMT5
4	+	292769	293329	YDL092W	SRP14
4	+	296537	298329	YDL089W	YDL089W
4	+	301393	302305	YDL086W	YDL086W
4	+	303145	305073	YDL085W	NDE2
4	+	305073	306673	YDL084W	SUB2
4	+	308369	309505	YDL082W	RPL13A
4	+	322193	323041	YDL075W	RPL31A
4	+	326441	329585	YDL073W	YDL073W
4	+	330993	333113	YDL070W	BDF2
4	+	334681	336185	YDL066W	IDP1
4	+	337441	338233	YDL064W	UBC9
4	+	341601	344041	YDL060W	TSR1
4	+	345601	351137	YDL058W	USO1
4	+	351401	352433	YDL057W	YDL057W
4	+	352769	355433	YDL056W	MBP1
4	+	363913	365001	YDL051W	LHP1
4	+	369313	370953	YDL047W	SIT4
4	+	371161	372009	YDL046W	NPC2
4	+	372201	372649	YDL045W-A	MRP10
4	+	394177	397281	YDL031W	DBP10
4	+	397457	399169	YDL030W	PRP9
4	+	399297	400897	YDL029W	ARP2
4	+	411761	413217	YDL022W	GPD1
4	+	413945	415081	YDL021W	GPM2
4	+	424097	425785	YDL017W	CDC7
4	+	427217	428585	YDL014W	NOP1
4	+	428929	431009	YDL013W	SLX5
4	+	432281	433273	YDL010W	GRX7
4	+	433473	434057	YDL008W	APC11
4	+	438009	439369	YDL007W	RPT2
4	+	439569	440777	YDL006W	PTC1
4	+	442985	443753	YDL004W	ATP16
4	+	444561	446489	YDL003W	MCD1
4	+	447913	449377	YDL001W	RMD1
4	+	452977	453825	YDR002W	YRB1
4	+	455225	456729	YDR004W	RAD57
4	+	461649	462817	YDR007W	TRP1
4	+	463249	465601	YDR009W	GAL3
4	+	465601	470593	YDR011W	SNQ2
4	+	471809	473017	YDR012W	RPL4B
4	+	473153	473857	YDR013W	PSF1
4	+	473993	476033	YDR014W	RAD61
4	+	477753	478306	YDR014W-A	HED1
4	+	486706	488058	YDR021W	FAL1
4	+	503474	503915	YDR031W	MIC14
4	+	507811	509587	YDR033W	MRH1
4	+	521275	521563	YDR034W-B	YDR034W-B
4	+	521779	523131	YDR035W	ARO3
4	+	525387	527267	YDR037W	KRS1
4	+	539771	540571	YDR041W	RSM10
4	+	546411	547731	YDR044W	HEM13
4	+	551427	552987	YDR047W	HEM12
4	+	553227	555211	YDR049W	YDR049W
4	+	563459	565019	YDR055W	PST1
4	+	565883	567563	YDR057W	YOS9
4	+	570571	573795	YDR060W	MAK21
4	+	574155	575811	YDR061W	YDR061W
4	+	576075	578363	YDR062W	LCB2
4	+	578539	579227	YDR063W	YDR063W
4	+	579419	580539	YDR064W	RPS13
4	+	580643	582331	YDR065W	YDR065W
4	+	583659	584771	YDR068W	DOS2
4	+	592195	593155	YDR073W	SNF11
4	+	593659	596771	YDR074W	TPS2
4	+	596971	598227	YDR075W	PPH3
4	+	598419	600675	YDR076W	RAD55
4	+	600747	602131	YDR077W	SED1
4	+	603035	603603	YDR079W	PET100
4	+	603971	607451	YDR080W	VPS41
4	+	610339	611971	YDR082W	STN1
4	+	612059	613332	YDR083W	RRP8
4	+	621988	624788	YDR089W	YDR089W
4	+	629804	630692	YDR092W	UBC13
4	+	631012	636116	YDR093W, YDR094W	DNF2, YDR094W
4	+	636580	639844	YDR096W	GIS1
4	+	652660	654596	YDR099W	BMH2
4	+	654980	655580	YDR100W	TVP15
4	+	657788	661148	YDR103W	STE5
4	+	671228	673436	YDR108W	GSG1
4	+	676044	677988	YDR110W	FOB1
4	+	682132	682700	YDR115W	YDR115W
4	+	685852	687988	YDR118W, YDR118W-A	APC4, YDR118W-A
4	+	688140	690588	YDR119W	YDR119W
4	+	690980	691428	YDR119W-A	YDR119W-A
4	+	693452	694220	YDR121W	DPB4
4	+	694404	698036	YDR122W	KIN1
4	+	699740	701380	YDR124W	YDR124W
4	+	703220	704404	YDR126W	SWF1
4	+	704404	709284	YDR127W	ARO1
4	+	709516	713236	YDR128W	YDR128W
4	+	728156	730372	YDR137W	RGP1
4	+	730556	733436	YDR138W	HPR1
4	+	734132	734860	YDR140W	MTQ2
4	+	746652	748436	YDR145W	TAF12
4	+	751204	753244	YDR147W	EKI1
4	+	755572	763868	YDR150W	NUM1
4	+	765644	766540	YDR152W	GIR2
4	+	769484	769996	YDR156W, YDR157W	RPA14, YDR157W
4	+	770340	771612	YDR158W	HOM2
4	+	771772	775804	YDR159W	SAC3
4	+	775988	778708	YDR160W	SSY1
4	+	778996	780340	YDR161W	YDR161W
4	+	781356	782012	YDR163W	CWC15
4	+	784836	786332	YDR165W	TRM82
4	+	789412	790180	YDR167W	TAF10
4	+	790292	791884	YDR168W	CDC37
4	+	806556	807828	YDR171W	HSP42
4	+	808260	810548	YDR172W	SUP35
4	+	812084	813028	YDR174W	HMO1
4	+	814404	816596	YDR176W	NGG1
4	+	816764	817620	YDR177W	UBC1
4	+	817836	818604	YDR178W	SDH4
4	+	819332	820909	YDR179W-A	YDR179W-A
4	+	821157	825789	YDR180W	SCC2
4	+	829589	830293	YDR183W	PLP1
4	+	836365	838165	YDR188W	CCT6
4	+	838341	840493	YDR189W	SLY1
4	+	842301	843469	YDR191W	HST4
4	+	848349	850205	YDR195W	REF2
4	+	851181	852493	YDR197W	CBS2
4	+	856285	856981	YDR201W	SPC19
4	+	858093	859237	YDR204W	COQ4
4	+	859317	861573	YDR205W	MSC2
4	+	861717	864861	YDR206W	EBS1
4	+	868045	870541	YDR208W	MSS4
4	+	871013	871589	YDR210W	YDR210W
4	+	884661	886973	YDR211W	GCD6
4	+	887149	888989	YDR212W	TCP1
4	+	889525	892613	YDR213W	UPC2
4	+	892749	893989	YDR214W	AHA1
4	+	894509	899453	YDR216W	ADR1
4	+	907317	909645	YDR221W	GTB1
4	+	910029	911445	YDR222W	YDR222W
4	+	911637	913701	YDR223W	CRF1
4	+	915429	916085	YDR225W	HTA1
4	+	916421	917285	YDR226W	ADK1
4	+	917453	921845	YDR227W	SIR4
4	+	924685	926189	YDR229W	IVY1
4	+	927197	929261	YDR232W	HEM1
4	+	931005	933309	YDR234W	LYS4
4	+	933485	935381	YDR235W	PRP42
4	+	936461	937653	YDR237W	MRPL7
4	+	946717	948557	YDR242W	AMD2
4	+	950549	952533	YDR244W	PEX5
4	+	952717	954133	YDR245W	MNN10
4	+	954269	955101	YDR246W	TRS23
4	+	955661	957749	YDR247W	VHS1
4	+	960309	963245	YDR251W	PAM1
4	+	963405	964757	YDR252W	BTT1
4	+	965037	967013	YDR254W	CHL4
4	+	993117	994133	YDR262W	YDR262W
4	+	998637	999973	YDR265W	PEX10
4	+	1003957	1005173	YDR268W	MSW1
4	+	1005581	1008725	YDR270W	CCC2
4	+	1008949	1009901	YDR272W	GLO2
4	+	1009901	1011301	YDR273W	DON1
4	+	1011589	1013197	YDR275W	BSC2
4	+	1019237	1020413	YDR279W	RNH202
4	+	1020613	1021693	YDR280W	RRP45
4	+	1033389	1035221	YDR285W	ZIP1
4	+	1035773	1036933	YDR287W	YDR287W
4	+	1037141	1038221	YDR288W	NSE3
4	+	1039717	1043165	YDR291W	HRQ1
4	+	1055149	1055965	YDR296W	MHR1
4	+	1056397	1057741	YDR297W	SUR2
4	+	1059573	1061301	YDR299W	BFR2
4	+	1063277	1067517	YDR301W	CFT1
4	+	1067669	1068477	YDR302W	GPI11
4	+	1075813	1077965	YDR307W	YDR307W
4	+	1085061	1087085	YDR311W	TFB1
4	+	1087541	1089061	YDR312W	SSF2
4	+	1093733	1095133	YDR316W	OMS1
4	+	1102133	1103461	YDR317W	HIM1
4	+	1103653	1105077	YDR318W	MCM21
4	+	1108661	1109957	YDR321W	ASP1
4	+	1110573	1111829	YDR322W	MRPL35
4	+	1117109	1120245	YDR325W	YCG1
4	+	1127805	1129469	YDR330W	UBX5
4	+	1129469	1130853	YDR331W	GPI8
4	+	1130965	1133117	YDR332W	IRC3
4	+	1135725	1140509	YDR334W	SWR1
4	+	1140805	1144933	YDR335W	MSN5
4	+	1145077	1146093	YDR336W	YDR336W
4	+	1146269	1147245	YDR337W	MRPS28
4	+	1169069	1170205	YDR347W	MRP1
4	+	1178437	1181397	YDR351W	SBE2
4	+	1181621	1182949	YDR352W	YDR352W
4	+	1183229	1184485	YDR353W	TRR1
4	+	1184629	1185949	YDR354W	TRP4
4	+	1186069	1189213	YDR356W	SPC110
4	+	1190005	1191853	YDR358W	GGA1
4	+	1198981	1201485	YDR363W	ESC2
4	+	1202093	1202653	YDR363W-A	SEM1
4	+	1212773	1213629	YDR367W	YDR367W
4	+	1213837	1214997	YDR368W	YPR1
4	+	1219341	1221045	YDR371W	CTS2
4	+	1222677	1223373	YDR373W	FRQ1
4	+	1224733	1225189	YDR374W-A	YDR374W-A
4	+	1226741	1228293	YDR376W	ARH1
4	+	1228525	1229317	YDR377W	ATP17
4	+	1230053	1233245	YDR379W	RGA2
4	+	1234117	1236245	YDR380W	ARO10
4	+	1236445	1238205	YDR381W	YRA1
4	+	1239397	1239973	YDR382W	RPP2B
4	+	1243149	1245917	YDR385W	EFT2
4	+	1246069	1248085	YDR386W	MUS81
4	+	1250133	1251749	YDR388W	RVS167
4	+	1252005	1254693	YDR389W	SAC7
4	+	1258629	1259717	YDR392W	SPT3
4	+	1259845	1261413	YDR393W	SHE9
4	+	1261557	1263045	YDR394W	RPT3
4	+	1263197	1266269	YDR395W	SXM1
4	+	1267341	1269517	YDR398W	UTP5
4	+	1269997	1270797	YDR399W	HPT1
4	+	1270997	1272205	YDR400W	URH1
4	+	1275381	1276309	YDR403W	DIT1
4	+	1277573	1278517	YDR405W	MRP20
4	+	1279101	1283797	YDR406W, YDR406W-A	PDR15, YDR406W-A
4	+	1289373	1292357	YDR409W	SIZ1
4	+	1294621	1295549	YDR412W	RRP17
4	+	1298349	1300965	YDR416W	SYF1
4	+	1301557	1302221	YDR418W	RPL12B
4	+	1303157	1305381	YDR419W	RAD30
4	+	1305885	1311749	YDR420W	HKR1
4	+	1311957	1315077	YDR421W	ARO80
4	+	1319973	1321949	YDR425W	SNX41
4	+	1322165	1323445	YDR427W	RPN9
4	+	1328757	1330677	YDR432W, YDR433W	NPL3, YDR433W
4	+	1331125	1332933	YDR434W	GPI17
4	+	1334573	1336981	YDR436W	PPZ2
4	+	1337269	1340813	YDR437W, YDR438W, YDR439W	GPI19, THI74, LRS4
4	+	1342397	1344309	YDR440W	DOT1
4	+	1350205	1352341	YDR444W	YDR444W
4	+	1355965	1357429	YDR448W	ADA2
4	+	1359885	1360901	YDR450W	RPS18A
4	+	1362733	1365045	YDR452W	PPN1
4	+	1367429	1369461	YDR456W	NHX1
4	+	1369653	1379693	YDR457W	TOM1
4	+	1383669	1384893	YDR460W	TFB3
4	+	1385109	1385237	YDR461W	MFA1
4	+	1386021	1386613	YDR462W	MRPL28
4	+	1386765	1388533	YDR463W	STP1
4	+	1388741	1393309	YDR464W	SPP41
4	+	1395013	1398061	YDR466W	PKH3
4	+	1398997	1399797	YDR469W	SDC1
4	+	1401693	1402677	YDR471W	RPL27B
4	+	1403205	1404277	YDR472W	TRS31
4	+	1412077	1414381	YDR477W	SNF1
4	+	1414541	1416357	YDR478W	SNM1
4	+	1417333	1418437	YDR480W	DIG2
4	+	1421117	1422589	YDR483W	KRE2
4	+	1422733	1424709	YDR484W	VPS52
4	+	1430997	1432261	YDR489W	SLD5
4	+	1434709	1435941	YDR492W	IZH1
4	+	1436109	1436693	YDR493W	FMP36
4	+	1436837	1438101	YDR494W	RSM28
4	+	1447805	1450101	YDR499W	LCD1
4	+	1451229	1453069	YDR501W	PLM2
4	+	1469317	1469781	YDR510W	SMT3
4	+	1469989	1470445	YDR511W	ACN9
4	+	1470957	1471533	YDR513W	GRX2
4	+	1473205	1474733	YDR515W	SLF1
4	+	1477117	1478437	YDR517W	GRH1
4	+	1478573	1480205	YDR518W	EUG1
4	+	1480365	1480997	YDR519W	FPR2
4	+	1490517	1492517	YDR525W-A, YDR527W	SNA2, RBA50
4	+	1494277	1495949	YDR528W	HLR1
4	+	1498165	1499405	YDR531W	YDR531W
4	+	1507941	1509757	YDR536W	STL1
4	+	1510005	1511773	YDR538W	PAD1
4	+	1511981	1513933	YDR539W	YDR539W
5	+	13569	14745	YEL072W	RMD6
5	+	16177	17881	YEL071W	DLD3
5	+	26137	27625	YEL066W	HPA3
5	+	27625	29601	YEL065W	SIT1
5	+	34321	36401	YEL062W	NPR2
5	+	43217	44993	YEL058W	PCM1
5	+	47105	48457	YEL056W	HAT2
5	+	56537	58105	YEL052W	AFG1
5	+	58321	59297	YEL051W	VMA8
5	+	69049	70385	YEL044W	IES6
5	+	70433	73449	YEL043W	YEL043W
5	+	73585	75473	YEL042W	GDA1
5	+	75665	77585	YEL041W	YEF1
5	+	78033	79585	YEL040W	UTR2
5	+	80377	81185	YEL038W	UTR4
5	+	86897	90049	YEL032W	MCM3
5	+	90233	94017	YEL031W	SPF1
5	+	94209	96577	YEL030W	ECM10
5	+	100697	101513	YEL027W	CUP5
5	+	101785	102393	YEL026W	SNU13
5	+	107161	108425	YEL024W	RIP1
5	+	111337	115873	YEL022W	GEA2
5	+	116121	117049	YEL021W	URA3
5	+	117145	117577	YEL020W-A	TIM9
5	+	121449	122385	YEL018W	EAF5
5	+	123193	124721	YEL017W	GTT3
5	+	126593	128417	YEL015W	EDC3
5	+	128585	130945	YEL013W	VAC8
5	+	131641	132657	YEL012W	UBC8
5	+	133089	135313	YEL011W	GLC3
5	+	141497	144033	YEL007W	YEL007W
5	+	144281	145681	YEL006W	YEA6
5	+	146905	148121	YEL004W	YEA4
5	+	148121	148705	YEL003W	GIM4
5	+	153473	156033	YER001W	MNN1
5	+	156769	157593	YER002W	NOP16
5	+	159337	160489	YER004W	FMP52
5	+	160489	162505	YER005W	YND1
5	+	162681	164385	YER006W	NUG1
5	+	164449	166161	YER007W	PAC2
5	+	172065	172665	YER009W	NTF2
5	+	175209	176113	YER011W	TIR1
5	+	177761	178577	YER012W	PRE1
5	+	178817	182273	YER013W	PRP22
5	+	182561	184313	YER014W	HEM14
5	+	184473	186977	YER015W	FAA2
5	+	188233	189337	YER016W	BIM1
5	+	192849	194297	YER019W	ISC1
5	+	195065	196553	YER020W	GPA2
5	+	196889	198585	YER021W	RPN3
5	+	198785	200913	YER022W	SRB4
5	+	201033	202081	YER023W	PRO3
5	+	202161	205025	YER024W	YAT2
5	+	205193	207089	YER025W	GCD11
5	+	213369	214025	YER030W	CHZ1
5	+	214993	217889	YER032W	FIR1
