chr strand start end
11 + 535619 536615
11 + 566094 567772
11 + 576252 578484
11 + 581463 582176
11 + 604385 605593
11 + 605603 608397
11 + 613702 615481
12 + 22041 23476
12 + 26100 27232
12 + 39727 40473
12 + 46659 47504
12 + 65837 66842
12 + 97815 100472
12 + 151077 153916
12 + 157961 159953
12 + 168689 170025
12 + 185030 187382
12 + 187601 193325
12 + 196795 198578
12 + 198743 199806
12 + 203248 204099
12 + 203250 204097
12 + 204103 204734
12 + 212240 214785
12 + 220978 222069
12 + 223959 225262
12 + 225439 228403
12 + 229912 230641
12 + 231343 231940
12 + 237985 241547
12 + 245554 246323
12 + 248768 251781
12 + 259709 260931
12 + 274094 275313
12 + 281889 282877
12 + 300680 302119
12 + 323303 326379
12 + 337488 339649
12 + 339692 341252
12 + 373359 374030
12 + 388560 390423
12 + 395805 397480
12 + 404508 407003
12 + 410446 412540
12 + 415745 418130
12 + 437612 439931
12 + 448007 449011
12 + 449738 450802
12 + 493480 494451
12 + 498219 498843
12 + 500540 501108
12 + 501172 502343
12 + 540754 541781
12 + 541964 543615
12 + 566527 568433
12 + 573413 573961
12 + 578124 579055
12 + 591325 592121
12 + 604224 604956
12 + 605600 607202
12 + 626441 628261
12 + 645292 645820
12 + 669182 669846
12 + 674206 675372
12 + 697130 699520
12 + 710741 712372
12 + 713434 714922
12 + 719641 720566
12 + 721716 722959
12 + 738111 743826
12 + 757334 758792
12 + 778055 779136
12 + 795444 796411
12 + 826800 827948
12 + 839718 841067
12 + 849240 849521
12 + 873727 874970
12 + 877652 878188
12 + 892980 893570
12 + 899180 903463
12 + 910216 913043
12 + 915034 917162
12 + 971891 973359
12 + 1002256 1002899
12 + 1011542 1012206
12 + 1026761 1028368
12 + 1041748 1043035
13 + 13470 14693
13 + 14989 16989
13 + 30138 30528
13 + 42017 43970
13 + 58859 59741
13 + 87057 88451
13 + 100094 101169
13 + 119457 120077
13 + 129741 131834
13 + 165497 168459
13 + 204429 206094
13 + 207090 208941
13 + 242005 243152
13 + 303074 305859
13 + 306290 307476
13 + 316994 318663
13 + 330432 331997
13 + 343717 347044
13 + 348581 349919
13 + 349944 350898
13 + 370759 372048
13 + 378638 379225
13 + 379396 379583
13 + 405720 406279
13 + 431789 433228
13 + 433749 434668
13 + 445500 448203
13 + 451581 453861
13 + 460731 463267
13 + 465009 465425
13 + 472859 475570
13 + 475702 477895
13 + 477916 480205
13 + 493872 494939
13 + 501074 501845
13 + 509651 510417
13 + 522203 522878
13 + 534917 535902
13 + 557485 559126
13 + 570469 571027
13 + 571260 572194
13 + 584286 586553
13 + 589861 592868
13 + 592869 594839
13 + 599285 601011
13 + 601375 603698
13 + 610420 611122
13 + 626148 627860
13 + 636203 636995
13 + 652276 653934
13 + 654961 656218
13 + 666006 666983
13 + 675458 675634
13 + 715656 716493
13 + 731452 732122
13 + 748218 750047
13 + 758454 758908
13 + 763348 764293
13 + 784499 786754
13 + 806696 808051
13 + 814328 815630
13 + 835331 837183
13 + 861451 861852
13 + 867534 870046
13 + 896947 897546
13 + 915454 917161
13 + 918511 920039
14 + 16391 17774
14 + 19563 23533
14 + 51867 52605
14 + 89075 89430
14 + 145486 146904
14 + 157476 160312
14 + 160633 164231
14 + 168051 169646
14 + 172510 174549
14 + 174876 175557
14 + 198457 200491
14 + 217704 218782
14 + 220629 222701
14 + 227230 228899
14 + 234028 234327
14 + 246443 247390
14 + 258416 259329
14 + 270164 271493
14 + 271934 274296
14 + 301281 302567
14 + 307357 308955
14 + 308959 310164
14 + 318587 321775
14 + 326680 330297
14 + 335299 336489
14 + 337995 339557
14 + 348733 349873
14 + 350035 350834
14 + 373949 375238
14 + 381048 382380
14 + 417718 419009
14 + 441347 442647
14 + 444759 447063
14 + 488326 490190
14 + 500394 500927
14 + 535175 537862
14 + 585531 588240
14 + 588248 591432
14 + 614599 615850
14 + 691682 692912
14 + 723394 724494
14 + 730825 731261
14 + 739580 742172
14 + 759769 762821
14 + 762987 764052
15 + 1913 2605
15 + 8843 9200
15 + 9448 10775
15 + 15751 17118
15 + 21773 22501
15 + 31664 33806
15 + 33808 35500
15 + 38803 39801
15 + 47825 48575
15 + 69330 70280
15 + 78270 79581
15 + 85437 86665
15 + 89873 91502
15 + 96647 99686
15 + 116356 117721
15 + 136387 138322
15 + 153821 154634
15 + 170301 170732
15 + 191816 193836
15 + 202703 204520
15 + 204587 205944
15 + 216634 217040
15 + 234191 234762
15 + 259335 259891
15 + 267819 268134
15 + 309343 310163
15 + 312922 314008
15 + 315824 316482
15 + 335817 337439
15 + 342862 344780
15 + 345091 345902
15 + 348739 349280
15 + 383571 384719
15 + 385128 386650
15 + 392134 394582
15 + 394801 400144
15 + 418118 421876
15 + 421912 422413
15 + 424787 426218
15 + 426545 427363
15 + 427533 429140
15 + 436942 438471
15 + 446062 446823
15 + 458171 461462
15 + 462617 463965
15 + 483189 486857
15 + 548795 550330
15 + 550482 552592
15 + 553142 554806
15 + 554831 558804
15 + 564473 566118
15 + 566697 569505
15 + 569824 571809
15 + 572176 573072
15 + 578244 580152
15 + 584264 586657
15 + 608713 609827
15 + 611543 611899
15 + 617166 618673
15 + 642321 642695
15 + 665594 666306
15 + 672632 673966
15 + 674122 675108
15 + 720394 721870
15 + 762400 766740
15 + 802515 803615
15 + 825190 828016
15 + 832321 834342
15 + 842405 843808
15 + 844888 845892
15 + 878084 878304
15 + 930670 931747
15 + 958305 959052
15 + 960438 960716
15 + 968703 970317
15 + 979454 980275
15 + 994991 996959
15 + 1001075 1003364
15 + 1018975 1019926
15 + 1023444 1025649
15 + 1031529 1034543
15 + 1043580 1044714
15 + 1064604 1065019
15 + 1078540 1079268
15 + 1079559 1080229
16 + 14616 14956
16 + 28601 29934
16 + 40721 40943
16 + 46708 47154
16 + 52940 53478
16 + 76656 79585
16 + 84467 85532
16 + 90566 95207
16 + 95434 96369
16 + 101506 102993
16 + 143357 147387
16 + 162609 163710
16 + 169630 173070
16 + 183442 184638
16 + 194517 195663
16 + 215176 218429
16 + 226061 227529
16 + 239377 241740
16 + 244289 246148
16 + 252024 254462
16 + 257147 260985
16 + 308567 309767
16 + 319092 322052
16 + 324063 326409
16 + 335878 337418
16 + 345066 348310
16 + 352580 355377
16 + 373609 375452
16 + 396990 398401
16 + 404911 406233
16 + 409057 412068
16 + 439333 442963
16 + 453626 455546
16 + 463941 464172
16 + 475167 476816
16 + 491943 493069
16 + 503226 506371
16 + 544034 544515
16 + 565275 566795
16 + 567082 569205
16 + 582994 584618
16 + 586473 590604
16 + 607527 609169
16 + 646427 647235
16 + 664927 667464
16 + 675870 676933
16 + 697098 698498
16 + 702130 704558
16 + 719580 720608
16 + 728959 729754
16 + 821737 822557
16 + 825396 826791
16 + 826797 828134
16 + 831028 831832
16 + 833113 833598
16 + 835541 837500
16 + 866666 868263
16 + 876341 877717
16 + 887986 888949
16 + 903341 906737
16 + 936404 938033
16 + 939163 939847
1 - 10396 11184
1 - 11491 16845
1 - 28908 31003
1 - 31418 36376
1 - 31418 37244
1 - 92583 94329
1 - 128113 130469
1 - 135788 136710
1 - 137135 137473
1 - 184867 189089
1 - 214996 223083
1 - 223948 225015
2 - 40766 43107
2 - 47283 49434
2 - 89927 92212
2 - 146055 146952
2 - 170205 171275
2 - 184251 185892
2 - 278835 280928
2 - 288270 290278
2 - 297894 299899
2 - 339606 341738
2 - 342042 344355
2 - 347781 350775
2 - 390110 392535
2 - 407292 408571
2 - 438476 441311
2 - 447398 449339
2 - 510563 512862
2 - 532496 533440
2 - 533653 534996
2 - 538985 539717
2 - 546005 547497
2 - 549128 549599
2 - 553400 555273
2 - 593195 595673
2 - 597753 598497
2 - 651231 653217
2 - 786248 786859
2 - 799370 800357
2 - 804942 807174
3 - 74554 75351
3 - 106888 107820
3 - 111806 114222
3 - 124440 125022
3 - 125037 125352
3 - 151759 152577
3 - 155970 158082
3 - 180078 186085
3 - 237002 238709
3 - 252816 254207
3 - 254443 259294
3 - 310092 315264
4 - 18678 19929
4 - 21560 22450
4 - 30486 32069
4 - 65044 65949
4 - 98140 99372
4 - 114608 116091
4 - 125385 126532
4 - 130760 132742
4 - 132904 135546
4 - 135817 139415
4 - 172418 174828
4 - 174911 179860
4 - 212521 217234
4 - 227317 229468
4 - 230572 234478
4 - 234569 235948
4 - 240225 241265
4 - 246541 248019
4 - 267657 269567
4 - 272089 273622
4 - 302349 304853
4 - 322713 323670
4 - 350990 352639
4 - 364847 366145
4 - 366655 368376
4 - 413863 414778
4 - 443014 444254
4 - 454035 455068
4 - 462695 464978
4 - 470579 471516
4 - 473172 473896
4 - 505383 507797
4 - 524789 525109
4 - 540462 541871
4 - 562521 562872
4 - 576109 579122
4 - 598396 599663
4 - 620808 621739
4 - 628777 630681
4 - 630891 636156
4 - 666964 667925
4 - 686022 690518
4 - 703357 704220
4 - 750945 751360
4 - 769465 770202
4 - 784264 784691
4 - 789279 790168
4 - 810591 811704
4 - 819418 820968
4 - 829073 830260
4 - 859196 861529
4 - 867817 870638
4 - 888897 892476
4 - 1003607 1005334
4 - 1009040 1011510
4 - 1018121 1020401
4 - 1031696 1032208
4 - 1032244 1033376
4 - 1035597 1037015
4 - 1102104 1104916
4 - 1142033 1146096
4 - 1164687 1166571
4 - 1181303 1183307
4 - 1212788 1214980
4 - 1226560 1228308
4 - 1259768 1261399
4 - 1267369 1269702
4 - 1272100 1273697
4 - 1274548 1276342
4 - 1279106 1279949
4 - 1298202 1301027
4 - 1311671 1312645
4 - 1321353 1321976
4 - 1334563 1337114
4 - 1436054 1436704
4 - 1474909 1477063
4 - 1478509 1480318
4 - 1490245 1493167
4 - 1507845 1509793
4 - 1509791 1511837
4 - 1513791 1514653
5 - 6546 7709
5 - 15294 16079
5 - 51627 53348
5 - 57910 59289
5 - 75819 77700
5 - 86948 90032
5 - 93942 96083
5 - 97884 99499
5 - 111405 115917
5 - 116086 117579
5 - 131968 135311
5 - 146791 147975
5 - 153512 156551
5 - 159176 162478
5 - 166951 167575
5 - 177733 178577
5 - 201157 205013
5 - 210643 211988
5 - 222401 223177
5 - 233095 234848
5 - 250605 251546
5 - 271367 279680
5 - 280878 282448
5 - 291787 292694
5 - 293006 294994
5 - 298778 303424
5 - 318527 321913
5 - 322287 324223
5 - 330685 332271
5 - 363853 364444
5 - 415667 416539
5 - 431788 432856
5 - 451472 453203
5 - 512440 517525
5 - 523032 526779
5 - 540437 545100
5 - 548202 549324
5 - 552359 553280
5 - 565511 567614
6 - 5783 6234
6 - 28198 32589
6 - 118513 119161
6 - 125784 131626
6 - 149026 149778
6 - 158205 160370
6 - 193758 196399
6 - 245188 245938
6 - 251851 252283
6 - 257547 259223
6 - 262478 263898
7 - 7373 8113
7 - 9259 10224
7 - 18181 20538
7 - 20761 23537
7 - 31770 35503
7 - 35541 36843
7 - 53710 56190
7 - 56443 58963
7 - 84420 87345
7 - 93762 94688
7 - 94688 95486
7 - 97043 98637
7 - 107748 110645
7 - 123355 124287
7 - 126359 131314
7 - 156217 157620
7 - 159439 163005
7 - 163328 165186
7 - 166822 167545
7 - 206362 208578
7 - 209098 213772
7 - 215160 217294
7 - 255359 257284
7 - 257563 258825
7 - 276733 277111
7 - 286145 287186
7 - 287694 289416
7 - 289415 291886
7 - 291988 293112
7 - 306322 307161
7 - 321675 323402
7 - 334697 337667
7 - 345192 345741
7 - 352357 355662
7 - 357359 358401
7 - 366218 366652
7 - 368341 371227
7 - 374854 377248
7 - 385207 388833
7 - 389860 393789
7 - 402120 404637
7 - 411307 412235
7 - 439726 440640
7 - 452145 454628
7 - 459697 461444
7 - 482926 485468
7 - 505897 506803
7 - 511048 513043
7 - 513091 516518
7 - 522663 526720
7 - 534512 535238
7 - 535432 535783
7 - 542055 544487
7 - 546197 547953
7 - 574679 576865
7 - 606041 607135
7 - 607400 609104
7 - 651452 653338
7 - 653531 654237
7 - 654497 656441
7 - 666100 667815
7 - 670214 671936
7 - 676519 677593
7 - 690062 693151
7 - 701181 702719
7 - 715914 717202
7 - 717220 720135
7 - 731314 733530
7 - 745587 746582
7 - 759021 762258
7 - 767018 770338
7 - 770338 771979
7 - 795648 798230
7 - 800459 801924
7 - 810146 810917
7 - 879177 880025
7 - 892445 894373
7 - 904801 904960
7 - 909061 910237
7 - 918215 919961
7 - 958421 959405
7 - 973958 974507
7 - 995148 996670
7 - 1065518 1066723
7 - 1076513 1078412
8 - 7954 11026
8 - 15943 17312
8 - 53124 55907
8 - 69568 70091
8 - 116783 117633
8 - 127580 129341
8 - 147023 147723
8 - 150472 151309
8 - 178479 181870
8 - 193935 195272
8 - 207268 209294
8 - 219910 221041
8 - 229088 231853
8 - 238081 238889
8 - 241533 242321
8 - 272419 273825
8 - 276807 281253
8 - 293938 296594
8 - 323233 325496
8 - 330091 332875
8 - 352024 354611
8 - 360787 361861
8 - 375027 375315
8 - 380426 381387
8 - 405840 406841
8 - 407072 410844
8 - 439283 441962
8 - 447552 450744
8 - 453822 455589
8 - 458850 462144
8 - 467266 470576
8 - 483885 484667
8 - 486755 487570
8 - 501321 504220
8 - 516534 517302
8 - 518785 520264
8 - 530488 532224
8 - 532509 533548
8 - 535759 540875
8 - 550573 551484
9 - 14339 16451
9 - 19352 21845
9 - 41776 44132
9 - 44309 45919
9 - 47563 47972
9 - 51419 53863
9 - 83367 84911
9 - 122475 127760
9 - 127982 129898
9 - 132115 134496
9 - 134570 136228
9 - 150004 151344
9 - 153549 155910
9 - 164967 165925
9 - 175280 177411
9 - 259136 259930
9 - 260443 260922
9 - 276494 278406
9 - 322005 323798
9 - 336653 338486
9 - 348851 350074
9 - 360580 362961
9 - 378308 379814
9 - 379833 382255
9 - 398200 399569
9 - 408380 410707
10 - 21270 22794
10 - 28616 31153
10 - 53195 54123
10 - 60689 63585
10 - 69261 71216
10 - 79401 79984
10 - 85747 87500
10 - 96665 97473
10 - 97474 99473
10 - 116595 119827
10 - 136846 140103
10 - 142642 143023
10 - 143108 144909
10 - 145126 146841
10 - 165585 173068
10 - 180336 181298
10 - 224149 227091
10 - 227419 228472
10 - 236498 237130
10 - 239062 241662
10 - 265762 268411
10 - 278135 280858
10 - 317981 319802
10 - 319952 323145
10 - 333153 334207
10 - 335940 337777
10 - 348660 349417
10 - 355815 358078
10 - 378783 381097
10 - 391798 393671
10 - 402627 405135
10 - 405249 407396
10 - 448862 450694
10 - 456245 457840
10 - 460229 462529
10 - 472047 472487
10 - 503863 507517
10 - 528500 529720
10 - 533600 535765
10 - 545503 548395
10 - 559363 567456
10 - 605958 607428
10 - 609507 612264
10 - 619985 620344
10 - 620722 622481
10 - 624704 628724
10 - 639842 640412
10 - 649335 651300
10 - 703118 705384
10 - 721294 724205
10 - 735175 739092
11 - 17109 18477
11 - 24152 24939
11 - 38223 38595
11 - 94035 96361
11 - 98373 99768
11 - 114806 115308
11 - 124470 125519
11 - 125765 130324
11 - 155206 158388
11 - 164402 164657
11 - 205626 207886
11 - 213458 216731
11 - 230019 230958
11 - 231988 234137
11 - 245564 245968
11 - 259617 260572
11 - 260773 261980
11 - 270704 271823
11 - 273229 275080
11 - 278949 280394
11 - 284776 286395
11 - 288819 291217
11 - 296225 299150
11 - 307074 308019
11 - 352845 353440
11 - 361894 362375
11 - 371574 374172
11 - 385352 387288
11 - 429368 431337
11 - 442934 444981
11 - 451242 451991
11 - 491304 493659
11 - 513485 514495
11 - 552402 554699
11 - 556296 559356
11 - 581342 583408
11 - 608781 611259
11 - 625610 626501
11 - 630766 632038
11 - 650001 650322
12 - 48745 49639
12 - 87240 88297
12 - 93021 95181
12 - 114536 116131
12 - 147890 150678
12 - 204857 208520
12 - 264101 265319
12 - 321095 323137
12 - 339686 341652
12 - 346967 348712
12 - 412838 415744
12 - 434527 437105
12 - 502562 504082
12 - 504321 505828
12 - 528211 530596
12 - 543922 545819
12 - 574071 576416
12 - 633349 634019
12 - 641353 642379
12 - 657336 658087
12 - 670060 672817
12 - 678092 680057
12 - 725657 728279
12 - 784631 787407
12 - 787716 789847
12 - 793131 793905
12 - 794019 794698
12 - 806837 808865
12 - 830386 830794
12 - 830957 833676
12 - 853253 855589
12 - 863555 866900
12 - 906474 906906
12 - 928308 929606
12 - 937354 941039
12 - 947123 948146
12 - 948348 950153
12 - 987195 990748
12 - 1033444 1035827
12 - 1043023 1043637
13 - 31802 37822
13 - 45907 46592
13 - 51072 54579
13 - 82146 82896
13 - 91365 94215
13 - 108544 110873
13 - 110920 111718
13 - 164379 165369
13 - 217074 219863
13 - 244102 245995
13 - 271517 271922
13 - 283000 284715
13 - 307754 308908
13 - 311251 312038
13 - 314809 316819
13 - 335163 337540
13 - 396759 399682
13 - 404133 407563
13 - 433091 434347
13 - 448323 449041
13 - 455779 457979
13 - 472713 475507
13 - 510404 510674
13 - 511865 513429
13 - 536040 537263
13 - 545044 545747
13 - 559707 560721
13 - 575121 577507
13 - 627906 628762
13 - 645412 646823
13 - 648899 649846
13 - 649864 650974
13 - 651177 651994
13 - 654934 656117
13 - 659476 661650
13 - 687388 688876
13 - 744856 746058
13 - 761586 763113
13 - 768886 770535
13 - 772765 773998
13 - 793604 794779
13 - 794826 795712
13 - 806719 808117
13 - 880414 886511
13 - 901462 903758
13 - 903826 905861
13 - 914648 915298
14 - 66131 68428
14 - 80486 82623
14 - 86059 87357
14 - 89368 89927
14 - 95123 96059
14 - 107117 108222
14 - 110626 112897
14 - 112948 116549
14 - 151315 154961
14 - 183053 185271
14 - 191184 195097
14 - 200018 201977
14 - 228192 230663
14 - 237849 240076
14 - 240113 241346
14 - 250566 251757
14 - 274280 276077
14 - 280199 281622
14 - 300898 301361
14 - 330260 330883
14 - 332208 335179
14 - 352779 357021
14 - 357024 359037
14 - 365834 366505
14 - 370157 371903
14 - 405637 408074
14 - 426924 427311
14 - 429835 434587
14 - 449535 452045
14 - 457478 459573
14 - 461428 462006
14 - 462219 466625
14 - 471434 473146
14 - 479218 481134
14 - 483378 485278
14 - 488445 490175
14 - 490200 491355
14 - 525656 529555
14 - 529735 531569
14 - 531730 532412
14 - 542064 544748
14 - 640161 641604
14 - 642567 643542
14 - 663774 665034
14 - 687573 690014
14 - 705926 707596
14 - 715460 715987
14 - 727381 728231
14 - 764639 765391
14 - 779297 779723
