chr strand start end
7 - 522868 523444
7 - 534986 535809
7 - 543322 544565
7 - 560308 561389
7 - 574872 575156
7 - 575687 576584
7 - 576764 579392
7 - 590984 591830
7 - 609184 609653
7 - 610906 611175
7 - 653517 654534
7 - 660267 661213
7 - 672085 672408
7 - 677590 678487
7 - 689275 689883
7 - 701095 702632
7 - 707711 708560
7 - 713087 715359
7 - 715407 715677
7 - 718538 719264
7 - 733246 733539
7 - 741721 742092
7 - 766073 766805
7 - 795723 796402
7 - 800370 801801
7 - 810556 811484
7 - 839396 839738
7 - 839809 840379
7 - 879323 879943
7 - 897736 899783
7 - 904906 905461
7 - 920193 920508
7 - 931339 932056
7 - 942617 944901
7 - 951488 951814
7 - 999621 1000397
7 - 1000429 1000786
7 - 1023676 1024753
7 - 1066086 1066993
8 + 11124 11527
8 + 53334 54192
8 + 59113 59383
8 + 62968 64255
8 + 94628 94939
8 + 98333 98831
8 + 115585 115960
8 + 121916 122426
8 + 146657 147822
8 + 150927 151460
8 + 164953 167167
8 + 168079 168606
8 + 170677 171175
8 + 189361 190313
8 + 201605 204104
8 + 221416 222730
8 + 222864 224238
8 + 250527 250946
8 + 258890 259869
8 + 266803 267137
8 + 286659 286997
8 + 293843 296463
8 + 314159 314734
8 + 314763 315709
8 + 340974 341607
8 + 364380 365039
8 + 368076 368562
8 + 373525 373882
8 + 375191 375498
8 + 378184 380536
8 + 422527 422852
8 + 429409 429796
8 + 458035 459061
8 + 465987 466786
8 + 496905 497591
8 + 501529 502052
8 + 516652 517265
8 + 522159 522579
8 + 529361 529613
8 + 529923 530458
8 - 14528 15969
8 - 26240 26550
8 - 50154 50588
8 - 56499 58891
8 - 105122 105453
8 - 127886 129344
8 - 131748 132909
8 - 147294 147549
8 - 181046 181721
8 - 201786 204298
8 - 237067 237626
8 - 238125 238818
8 - 241842 242350
8 - 249805 250610
8 - 250632 251373
8 - 255948 256320
8 - 271840 272443
8 - 272580 273224
8 - 280162 280561
8 - 280826 281245
8 - 289317 290068
8 - 317513 319837
8 - 336320 337855
8 - 349322 349611
8 - 354057 354773
8 - 356162 358186
8 - 383355 384952
8 - 385009 386533
8 - 386576 387000
8 - 401363 402042
8 - 455056 455428
8 - 455700 456038
8 - 456050 458501
8 - 460947 461460
8 - 463827 465581
8 - 470288 470629
8 - 490042 490485
8 - 507807 508315
8 - 508378 509099
8 - 516862 517295
8 - 518811 520511
8 - 530720 531717
9 + 22547 22933
9 + 23341 28535
9 + 30916 32987
9 + 34853 37296
9 + 40396 41501
9 + 54000 54252
9 + 74121 74750
9 + 75196 75460
9 + 76268 77388
9 + 92697 93479
9 + 99332 99740
9 + 136489 137083
9 + 139050 139494
9 + 146871 147201
9 + 165097 165908
9 + 173225 173699
9 + 196380 196653
9 + 196985 197261
9 + 199672 199990
9 + 202195 202917
9 + 203632 205032
9 + 208965 209672
9 + 215528 215786
9 + 220898 221492
9 + 222828 226533
9 + 229730 230160
9 + 243698 244062
9 + 247493 247807
9 + 257853 258237
9 + 283062 284759
9 + 289292 290172
9 + 290205 292245
9 + 304303 306730
9 + 314198 314536
9 + 331770 332594
9 + 348219 348632
9 + 356726 357431
9 + 380270 380533
9 + 385988 388451
9 + 406577 408347
9 + 412308 412691
9 + 419721 420671
9 + 420940 421867
9 + 436156 436853
9 - 19566 20922
9 - 32656 32975
9 - 56505 57185
9 - 92957 93491
9 - 97106 97376
9 - 97526 98016
9 - 114760 115541
9 - 115787 116430
9 - 125890 127044
9 - 127139 127465
9 - 132061 135309
9 - 135686 135977
9 - 154201 155931
9 - 195273 196336
9 - 205729 206578
9 - 241936 242524
9 - 260207 260777
9 - 261065 261509
9 - 277654 278094
9 - 333788 334409
9 - 336499 338046
9 - 346858 347144
9 - 381419 381789
9 - 385079 385341
9 - 398409 399596
9 - 408592 410265
9 - 427504 429319
10 + 30166 31159
10 + 31492 31749
10 + 50014 50698
10 + 58152 58871
10 + 59297 59630
10 + 67813 69205
10 + 76818 79545
10 + 87563 87940
10 + 96656 96912
10 + 101090 101911
10 + 109766 110207
10 + 111547 112256
10 + 112659 113253
10 + 123789 126473
10 + 128122 128890
10 + 136741 137065
10 + 141693 142201
10 + 142369 142643
10 + 142732 142994
10 + 152423 153299
10 + 155249 155988
10 + 172741 173504
10 + 177759 178112
10 + 180497 180977
10 + 181442 182295
10 + 278299 278611
10 + 289734 291052
10 + 310354 310899
10 + 327448 328129
10 + 329772 330237
10 + 348246 348669
10 + 375114 375802
10 + 380612 381115
10 + 388496 388797
10 + 395861 396233
10 + 455361 455776
10 + 457919 458627
10 + 467193 467868
10 + 471757 472289
10 + 569086 569446
10 + 643604 644043
10 + 659037 659594
10 + 665726 666483
10 + 678903 679797
10 + 724140 724826
10 + 740099 740531
10 + 741530 742267
10 - 30142 30725
10 - 79533 79973
10 - 96741 97562
10 - 116317 117718
10 - 143599 144014
10 - 144130 144919
10 - 160654 161200
10 - 161223 161557
10 - 161940 162847
10 - 195512 196013
10 - 224419 227097
10 - 237062 238080
10 - 238152 239212
10 - 247224 247616
10 - 279409 279895
10 - 316945 317450
10 - 319200 319791
10 - 322121 323149
10 - 324933 325242
10 - 333532 334020
10 - 339402 342265
10 - 356108 357792
10 - 360114 361095
10 - 375931 376983
10 - 403725 405131
10 - 417026 417295
10 - 460947 461590
10 - 472093 472487
10 - 524150 524544
10 - 534737 535755
10 - 539431 540504
10 - 543564 543889
10 - 551383 551772
10 - 598708 598987
10 - 605938 607430
10 - 609486 610263
10 - 610856 612064
10 - 619905 620175
10 - 620652 621129
10 - 624929 625283
10 - 626875 628782
10 - 640799 641615
10 - 649449 649917
10 - 649997 650466
10 - 703390 705296
10 - 718580 719244
10 - 721682 724353
10 - 724426 725374
11 + 8126 8867
11 + 17624 18243
11 + 18556 21224
11 + 24296 24933
11 + 66481 67777
11 + 69603 70358
11 + 73957 74520
11 + 88828 89237
11 + 89403 92831
11 + 93577 93867
11 + 136874 138010
11 + 151205 152948
11 + 162881 163403
11 + 175775 176547
11 + 189371 189762
11 + 195121 195776
11 + 196040 196827
11 + 200373 202377
11 + 229922 230309
11 + 230797 231377
11 + 259970 260315
11 + 303640 303933
11 + 303989 304623
11 + 335693 335966
11 + 339602 340142
11 + 355441 355709
11 + 389522 390139
11 + 419937 420686
11 + 427458 428333
11 + 430420 431205
11 + 446534 447390
11 + 454600 456153
11 + 456177 456780
11 + 461242 462512
11 + 465957 468323
11 + 468360 468903
11 + 489527 489806
11 + 533354 535310
11 + 535467 536046
11 + 560975 561977
11 + 578131 578537
11 + 586663 587019
11 + 589323 589814
11 + 602913 603433
11 + 605494 605749
11 + 614151 614890
11 + 618617 618961
11 + 642590 644336
11 + 658336 658654
11 + 659041 659516
11 + 659632 660194
11 + 663595 664022
11 + 664480 664855
11 - 5969 7875
11 - 14590 14851
11 - 16305 16689
11 - 21086 24204
11 - 24237 24886
11 - 91725 92606
11 - 137204 137644
11 - 145631 146147
11 - 157612 158322
11 - 203522 204864
11 - 209940 210605
11 - 229694 230447
11 - 231455 233411
11 - 235567 236664
11 - 257746 258280
11 - 259319 260285
11 - 260824 261434
11 - 263905 265783
11 - 270395 272894
11 - 303207 306808
11 - 306968 307643
11 - 307930 308344
11 - 308660 309221
11 - 314971 315584
11 - 319974 320295
11 - 323567 323978
11 - 329815 330329
11 - 353002 353362
11 - 354688 355701
11 - 363888 364897
11 - 368674 369306
11 - 384532 384920
11 - 387422 387829
11 - 434978 435309
11 - 462627 463209
11 - 463305 464663
11 - 513131 514112
11 - 516692 517150
11 - 580957 581434
11 - 581713 582188
11 - 582477 584297
11 - 608529 610919
11 - 613869 614311
11 - 625923 626176
11 - 630726 631973
11 - 638069 638359
11 - 649422 649994
11 - 661292 662005
12 + 16189 16450
12 + 22601 23064
12 + 25684 27314
12 + 28757 29059
12 + 67126 67658
12 + 111780 112081
12 + 130490 130857
12 + 151099 152119
12 + 152136 152820
12 + 188311 188703
12 + 193431 194263
12 + 201675 201927
12 + 211800 212440
12 + 220996 221724
12 + 223865 224685
12 + 224873 225221
12 + 228319 228815
12 + 229860 231252
12 + 234575 235530
12 + 244425 244977
12 + 245529 246307
12 + 274100 275221
12 + 281325 281708
12 + 300714 301827
12 + 307347 307722
12 + 339757 340518
12 + 373351 374012
12 + 390698 391225
12 + 395782 396758
12 + 403604 404472
12 + 407764 408210
12 + 415733 416495
12 + 441763 442286
12 + 445042 445308
12 + 449737 450525
12 + 460076 460603
12 + 490878 492722
12 + 498179 498743
12 + 514048 514961
12 + 540660 541785
12 + 542151 543577
12 + 553625 553930
12 + 553946 554274
12 + 567074 568322
12 + 591345 591737
12 + 605702 606631
12 + 608464 608880
12 + 626518 626899
12 + 645350 645708
12 + 657110 658056
12 + 674101 674876
12 + 675702 676305
12 + 709834 710145
12 + 710842 711275
12 + 721923 722426
12 + 793199 793772
12 + 848936 849615
12 + 873723 875367
12 + 909637 910985
12 + 911647 912135
12 + 954262 954657
12 + 1010860 1011374
12 + 1042189 1043045
12 - 18074 19708
12 - 19993 20261
12 - 20325 20637
12 - 49017 49677
12 - 84518 86089
12 - 93956 94278
12 - 94645 95176
12 - 112197 114335
12 - 146077 146451
12 - 203114 204757
12 - 230646 231228
12 - 264128 264618
12 - 290014 291716
12 - 322115 325344
12 - 365770 366189
12 - 391908 392495
12 - 392813 393273
12 - 414204 415657
12 - 417799 418071
12 - 423615 423961
12 - 449201 449580
12 - 494039 494329
12 - 498164 498718
12 - 553911 554233
12 - 568088 568544
12 - 603348 604076
12 - 609757 610829
12 - 612206 612842
12 - 619094 619783
12 - 641174 642592
12 - 647237 648648
12 - 649214 650865
12 - 657076 657931
12 - 660331 661313
12 - 665216 665609
12 - 678010 679993
12 - 682379 682648
12 - 707364 707749
12 - 724046 724431
12 - 728196 728714
12 - 786473 787464
12 - 806892 809185
12 - 815758 818469
12 - 831356 832085
12 - 832362 833683
12 - 854746 855340
12 - 898146 898848
12 - 928251 928611
12 - 928750 929509
12 - 932494 933573
12 - 939783 940960
12 - 947245 947573
12 - 948987 950215
12 - 952416 953087
12 - 963133 964270
12 - 981657 982626
12 - 1030003 1030697
12 - 1033965 1035871
12 - 1052261 1053176
12 - 1054925 1055375
13 + 13423 14356
13 + 20747 21623
13 + 24252 24715
13 + 25064 25666
13 + 25829 26686
13 + 32017 32290
13 + 55729 56387
13 + 94416 95580
13 + 119376 120177
13 + 121513 123137
13 + 127734 128286
13 + 132162 132922
13 + 139471 139920
13 + 139958 141691
13 + 165511 168403
13 + 227005 228591
13 + 241986 242447
13 + 258300 258614
13 + 262784 263303
13 + 283056 283471
13 + 290013 290678
13 + 302791 303769
13 + 309120 309375
13 + 317155 318226
13 + 320576 321093
13 + 324186 324787
13 + 343691 344111
13 + 347137 348535
13 + 371205 371978
13 + 386692 387287
13 + 396024 396762
13 + 405684 406103
13 + 422345 423643
13 + 423650 424708
13 + 429880 431560
13 + 443585 444614
13 + 445030 445409
13 + 462789 463391
13 + 475863 476143
13 + 480851 481386
13 + 493644 493901
13 + 494559 494810
13 + 501267 501552
13 + 502096 503549
13 + 507763 508067
13 + 508170 509606
13 + 522179 523006
13 + 556669 557418
13 + 570836 571245
13 + 592910 593279
13 + 598086 599532
13 + 601353 602031
13 + 622548 623190
13 + 623407 625389
13 + 653225 653876
13 + 675165 675602
13 + 720876 722369
13 + 731710 732173
13 + 763317 764278
13 + 775952 776810
13 + 784451 785056
13 + 796855 797335
13 + 806841 807857
13 + 809066 809542
13 + 827780 830710
13 + 836914 837715
13 + 851903 852522
13 + 861450 861821
13 + 869581 870054
13 + 872959 873995
13 + 874107 874475
13 + 906261 906957
13 + 910803 912054
13 + 912369 915017
13 - 8977 9401
13 - 31543 32019
13 - 45879 46633
13 - 68533 69293
13 - 110938 111737
13 - 119117 119724
13 - 169870 170664
13 - 171532 173499
13 - 219115 220744
13 - 220816 221973
13 - 233215 233741
13 - 258687 258984
13 - 259310 260102
13 - 265513 267500
13 - 275576 276712
13 - 283461 283838
13 - 286499 286848
13 - 311395 311768
13 - 311793 312046
13 - 341109 341449
13 - 352455 353126
13 - 389224 390766
13 - 397031 397377
13 - 399607 400119
13 - 409671 410003
13 - 433094 434283
13 - 439015 439838
13 - 440334 441310
13 - 481253 481557
13 - 481883 482712
13 - 511896 513378
13 - 531798 532277
13 - 536051 537232
13 - 540319 540778
13 - 558704 558990
13 - 564348 565171
13 - 575839 576733
13 - 576783 577506
13 - 606066 606425
13 - 610453 611010
13 - 611393 611648
13 - 618355 619593
13 - 654389 654769
13 - 655109 656028
13 - 656339 657984
13 - 661490 662111
13 - 667670 668169
13 - 676052 676932
13 - 687543 688856
13 - 731437 732099
13 - 768824 770516
13 - 772777 773604
13 - 798005 798398
13 - 800818 801480
13 - 808459 808717
13 - 832442 832958
13 - 847806 848471
13 - 851755 852151
13 - 854525 854952
13 - 881279 881735
13 - 882009 883456
13 - 902929 904455
13 - 916807 917365
14 + 16388 17821
14 + 64712 65533
14 + 104257 104756
14 + 106866 107287
14 + 160615 161627
14 + 168014 169834
14 + 174910 175279
14 + 179960 181105
14 + 197525 197788
14 + 260487 260877
14 + 263720 264305
14 + 270146 270954
14 + 271875 274242
14 + 318182 318554
14 + 318618 319126
14 + 319179 319919
14 + 337944 339297
14 + 345721 346214
14 + 354424 355505
14 + 372466 374323
14 + 440728 441308
14 + 444793 447047
14 + 500894 501207
14 + 535211 535951
14 + 546156 546783
14 + 561388 561817
14 + 587422 588454
14 + 597740 598347
14 + 599183 600287
14 + 600455 601004
14 + 601080 601790
14 + 624956 625363
14 + 629058 629533
14 + 632767 634073
14 + 662285 662635
14 + 692124 692445
14 + 724419 726021
14 + 727573 729067
14 + 729691 729950
14 + 731185 733339
14 + 739325 739664
14 + 742296 742590
14 + 743789 746431
14 + 755224 756771
14 + 757584 758413
14 + 759587 760799
14 + 763469 763882
14 + 770319 771649
14 - 10711 11176
14 - 32872 33203
14 - 64998 66251
14 - 107636 108217
14 - 110701 112904
14 - 124806 125825
14 - 126103 126712
14 - 200431 200866
14 - 201342 201973
14 - 204902 206790
14 - 241433 242253
14 - 242273 244256
14 - 275282 275656
14 - 288787 289182
14 - 297768 298111
14 - 301235 302290
14 - 330529 331353
14 - 335169 337790
14 - 339729 340149
14 - 348732 348985
14 - 355619 356210
14 - 383082 383530
14 - 392826 393566
14 - 405952 408068
14 - 450891 451513
14 - 462185 463022
14 - 463310 463795
14 - 463861 465392
14 - 465522 466657
14 - 479487 480173
14 - 480558 480945
14 - 481630 483140
14 - 488372 488653
14 - 490198 491245
14 - 493234 493596
14 - 501203 502846
14 - 525018 525523
14 - 525541 525841
14 - 530203 530978
14 - 531323 532566
14 - 542880 543182
14 - 547238 549256
14 - 570459 571665
14 - 571964 572501
14 - 572568 573045
14 - 604935 605777
14 - 609619 611307
14 - 614563 615757
14 - 635854 636810
14 - 642863 643578
14 - 652440 653203
14 - 662095 662446
14 - 691892 692269
14 - 706751 707558
14 - 726917 727234
14 - 735852 736942
14 - 740188 742229
14 - 746462 746755
14 - 763202 764002
14 - 764751 769445
14 - 771484 772598
14 - 772650 772901
