ID chr strand start end type name commonName endConfidence source
ST0212 2 + 614424 614880 CUTs CUT030 CUT030 bothEndsMapped Automatic
ST0216 2 + 625304 625688 CUTs CUT031 CUT031 mapped5 Automatic
ST0226 2 + 655424 655776 CUTs CUT032 CUT032 mapped3 Automatic
ST0228 2 + 662888 663176 CUTs CUT033 CUT033 bothEndsMapped Automatic
ST0232 2 + 682208 682528 CUTs CUT034 CUT034 bothEndsMapped Automatic
ST0238 2 + 698440 698768 CUTs CUT035 CUT035 mapped3 Automatic
ST0240 2 + 707024 707312 CUTs CUT036 CUT036 mapped5 Automatic
ST0243 2 + 714680 715472 CUTs CUT037 CUT037 bothEndsMapped Automatic
ST0251 2 + 734824 736184 CUTs CUT038 CUT038 mapped5 Automatic
ST0268 2 + 785048 785368 CUTs CUT039 CUT039 bothEndsMapped Automatic
ST0280 3 + 39049 39425 CUTs CUT040 CUT040 bothEndsMapped Automatic
ST0289 3 + 68881 69425 CUTs CUT041 CUT041 bothEndsMapped Automatic
ST0294 3 + 105794 106258 CUTs CUT042 CUT042 mapped5 Automatic
ST0303 3 + 120474 121082 CUTs CUT043 CUT043 bothEndsMapped Automatic
ST0307 3 + 131826 132242 CUTs CUT044 CUT044 bothEndsMapped Automatic
ST0309 3 + 139306 139986 CUTs CUT045 CUT045 bothEndsMapped Automatic
ST0313 3 + 155914 156042 CUTs CUT046 CUT046 mapped3 Automatic
ST0315 3 + 163922 164314 CUTs CUT047 CUT047 bothEndsMapped Automatic
ST0318 3 + 179034 179410 CUTs CUT048 CUT048 mapped5 Automatic
ST0365 4 + 57033 57337 CUTs CUT049 CUT049 bothEndsMapped Automatic
ST0368 4 + 73601 74785 CUTs CUT050 CUT050 bothEndsMapped Automatic
ST0395 4 + 163433 163753 CUTs CUT051 CUT051 bothEndsMapped Automatic
ST0406 4 + 192401 192569 CUTs CUT052 CUT052 mappedNone Automatic
ST0437 4 + 300161 300545 CUTs CUT053 CUT053 bothEndsMapped Automatic
ST0442 4 + 310457 311153 CUTs CUT054 CUT054 bothEndsMapped Automatic
ST0449 4 + 329585 329697 CUTs CUT055 CUT055 mapped3 Automatic
ST0468 4 + 413569 413945 CUTs CUT056 CUT056 mapped5 Automatic
ST0470 4 + 417273 417633 CUTs CUT057 CUT057 bothEndsMapped Automatic
ST0471 4 + 421937 422529 CUTs CUT058 CUT058 bothEndsMapped Automatic
ST0472 4 + 423721 424097 CUTs CUT059 CUT059 mapped5 Automatic
ST0480 4 + 442625 442841 CUTs CUT060 CUT060 bothEndsMapped Automatic
ST0485 4 + 453825 454065 CUTs CUT061 CUT061 mappedNone Automatic
ST0496 4 + 482602 483810 CUTs CUT062 CUT062 bothEndsMapped Automatic
ST0498 4 + 486114 486402 CUTs CUT063 CUT063 mapped3 Automatic
ST0503 4 + 501674 502362 CUTs CUT064 CUT064 mapped3 Automatic
ST0512 4 + 542547 543243 CUTs CUT065 CUT065 bothEndsMapped Automatic
ST0518 4 + 563195 563459 CUTs CUT066 CUT066 mapped5 Automatic
ST0528 4 + 587971 588659 CUTs CUT067 CUT067 bothEndsMapped Automatic
ST0559 4 + 715644 716188 CUTs CUT068 CUT068 bothEndsMapped Automatic
ST0562 4 + 727860 728156 CUTs CUT069 CUT069 mapped5 Automatic
ST0579 4 + 791956 792108 CUTs CUT070 CUT070 bothEndsMapped Automatic
ST0580 4 + 794484 795252 CUTs CUT071 CUT071 bothEndsMapped Automatic
ST0581 4 + 795252 796068 CUTs CUT072 CUT072 mapped3 Automatic
ST0612 4 + 915309 915429 CUTs CUT073 CUT073 mapped5 Automatic
ST0628 4 + 963277 963405 CUTs CUT074 CUT074 mapped5 Automatic
ST0632 4 + 974581 975013 CUTs CUT075 CUT075 bothEndsMapped Automatic
ST0644 4 + 1030509 1030877 CUTs CUT076 CUT076 bothEndsMapped Automatic
ST0652 4 + 1061301 1061485 CUTs CUT077 CUT077 mapped3 Automatic
ST0655 4 + 1072749 1073285 CUTs CUT078 CUT078 bothEndsMapped Automatic
ST0660 4 + 1090389 1091397 CUTs CUT079 CUT079 bothEndsMapped Automatic
ST0661 4 + 1092757 1093253 CUTs CUT080 CUT080 bothEndsMapped Automatic
ST0665 4 + 1106077 1106853 CUTs CUT081 CUT081 bothEndsMapped Automatic
ST0677 4 + 1149677 1149981 CUTs CUT082 CUT082 bothEndsMapped Automatic
ST0678 4 + 1153877 1154069 CUTs CUT083 CUT083 bothEndsMapped Automatic
ST0679 4 + 1156637 1157357 CUTs CUT084 CUT084 mapped5 Automatic
ST0682 4 + 1165893 1166141 CUTs CUT085 CUT085 mapped3 Automatic
ST0691 4 + 1189213 1189605 CUTs CUT086 CUT086 mapped3 Automatic
ST0706 4 + 1238333 1239397 CUTs CUT087 CUT087 mapped5 Automatic
ST0708 4 + 1239997 1241021 CUTs CUT088 CUT088 bothEndsMapped Automatic
ST0709 4 + 1242725 1243149 CUTs CUT089 CUT089 mapped5 Automatic
ST0721 4 + 1270837 1270997 CUTs CUT090 CUT090 mapped5 Automatic
ST0731 4 + 1302221 1302709 CUTs CUT091 CUT091 mapped3 Automatic
ST0735 4 + 1319445 1319757 CUTs CUT092 CUT092 bothEndsMapped Automatic
ST0738 4 + 1323461 1324421 CUTs CUT093 CUT093 bothEndsMapped Automatic
ST0741 4 + 1334205 1334573 CUTs CUT094 CUT094 mapped5 Automatic
ST0747 4 + 1359157 1359485 CUTs CUT095 CUT095 bothEndsMapped Automatic
ST0749 4 + 1360941 1361045 CUTs CUT096 CUT096 bothEndsMapped Automatic
ST0751 4 + 1367021 1367429 CUTs CUT097 CUT097 mapped5 Automatic
ST0771 4 + 1427405 1427893 CUTs CUT098 CUT098 bothEndsMapped Automatic
ST0781 4 + 1460565 1460757 CUTs CUT099 CUT099 mapped3 Automatic
ST0791 4 + 1484309 1485581 CUTs CUT100 CUT100 mapped3 Automatic
ST0795 4 + 1496805 1497181 CUTs CUT101 CUT101 bothEndsMapped Automatic
ST0805 5 + 8089 8297 CUTs CUT102 CUT102 mapped3 Automatic
ST0806 5 + 9969 10497 CUTs CUT103 CUT103 bothEndsMapped Automatic
ST0812 5 + 34145 34321 CUTs CUT104 CUT104 mapped5 Automatic
ST0815 5 + 45065 45809 CUTs CUT105 CUT105 bothEndsMapped Automatic
ST0850 5 + 150289 151761 CUTs CUT106 CUT106 bothEndsMapped Automatic
ST0873 5 + 208761 209065 CUTs CUT107 CUT107 bothEndsMapped Automatic
ST0874 5 + 210489 210833 CUTs CUT108 CUT108 bothEndsMapped Automatic
ST0883 5 + 238649 239161 CUTs CUT109 CUT109 bothEndsMapped Automatic
ST0888 5 + 261953 262801 CUTs CUT110 CUT110 bothEndsMapped Automatic
ST0906 5 + 316769 317145 CUTs CUT111 CUT111 bothEndsMapped Automatic
ST0910 5 + 326169 326545 CUTs CUT112 CUT112 bothEndsMapped Automatic
ST0916 5 + 343481 343889 CUTs CUT113 CUT113 mapped3 Automatic
ST0917 5 + 347777 348481 CUTs CUT114 CUT114 bothEndsMapped Automatic
ST0927 5 + 395281 395513 CUTs CUT115 CUT115 bothEndsMapped Automatic
ST0936 5 + 422185 422609 CUTs CUT116 CUT116 bothEndsMapped Automatic
ST0939 5 + 425233 425529 CUTs CUT117 CUT117 bothEndsMapped Automatic
ST0950 5 + 483313 484513 CUTs CUT118 CUT118 mapped5 Automatic
ST0953 5 + 500633 501329 CUTs CUT119 CUT119 bothEndsMapped Automatic
ST0974 6 + 23105 23329 CUTs CUT120 CUT120 bothEndsMapped Automatic
ST0979 6 + 44745 46121 CUTs CUT121 CUT121 bothEndsMapped Automatic
ST0996 6 + 106921 107209 CUTs CUT122 CUT122 mapped5 Automatic
ST1034 6 + 261473 262257 CUTs CUT123 CUT123 bothEndsMapped Automatic
ST1035 6 + 263305 263857 CUTs CUT124 CUT124 bothEndsMapped Automatic
ST1058 7 + 64306 64426 CUTs CUT125 CUT125 mapped3 Automatic
ST1070 7 + 95147 95755 CUTs CUT126 CUT126 bothEndsMapped Automatic
ST1072 7 + 97163 97307 CUTs CUT127 CUT127 mapped5 Automatic
ST1083 7 + 147843 148235 CUTs CUT128 CUT128 bothEndsMapped Automatic
ST1084 7 + 153155 154227 CUTs CUT129 CUT129 bothEndsMapped Automatic
ST1087 7 + 166731 166907 CUTs CUT130 CUT130 mapped5 Automatic
ST1092 7 + 184179 185067 CUTs CUT131 CUT131 mapped3 Automatic
ST1106 7 + 225915 226331 CUTs CUT132 CUT132 mapped5 Automatic
ST1108 7 + 228835 229563 CUTs CUT133 CUT133 bothEndsMapped Automatic
ST1117 7 + 269307 269731 CUTs CUT134 CUT134 bothEndsMapped Automatic
ST1121 7 + 280795 281315 CUTs CUT135 CUT135 bothEndsMapped Automatic
ST1123 7 + 286051 287003 CUTs CUT136 CUT136 bothEndsMapped Automatic
ST1148 7 + 346515 346651 CUTs CUT137 CUT137 bothEndsMapped Automatic
ST1149 7 + 346651 346915 CUTs CUT138 CUT138 mapped3 Automatic
ST1157 7 + 360227 361675 CUTs CUT139 CUT139 bothEndsMapped Automatic
ST1159 7 + 366883 367299 CUTs CUT140 CUT140 bothEndsMapped Automatic
ST1163 7 + 375851 376011 CUTs CUT141 CUT141 mappedNone Automatic
ST1178 7 + 420907 421355 CUTs CUT142 CUT142 bothEndsMapped Automatic
ST1181 7 + 427243 427643 CUTs CUT143 CUT143 bothEndsMapped Automatic
ST1195 7 + 484195 484987 CUTs CUT144 CUT144 mapped3 Automatic
ST1202 7 + 508771 509059 CUTs CUT145 CUT145 bothEndsMapped Automatic
ST1216 7 + 545139 545355 CUTs CUT146 CUT146 mapped5 Automatic
ST1218 7 + 545835 546059 CUTs CUT147 CUT147 mapped3 Automatic
ST1223 7 + 559379 559571 CUTs CUT148 CUT148 mapped3 Automatic
ST1236 7 + 605755 606123 CUTs CUT149 CUT149 mapped5 Automatic
ST1240 7 + 609803 609931 CUTs CUT150 CUT150 bothEndsMapped Automatic
ST1242 7 + 616331 617579 CUTs CUT151 CUT151 bothEndsMapped Automatic
ST1261 7 + 678251 678459 CUTs CUT152 CUT152 mapped5 Automatic
ST1268 7 + 700099 700675 CUTs CUT153 CUT153 mapped5 Automatic
ST1279 7 + 730555 730811 CUTs CUT154 CUT154 mapped3 Automatic
ST1284 7 + 739403 739899 CUTs CUT155 CUT155 mapped5 Automatic
ST1304 7 + 786027 786331 CUTs CUT156 CUT156 mapped3 Automatic
ST1307 7 + 795955 796083 CUTs CUT157 CUT157 mapped5 Automatic
ST1312 7 + 805219 806251 CUTs CUT158 CUT158 bothEndsMapped Automatic
ST1326 7 + 859827 860107 CUTs CUT159 CUT159 bothEndsMapped Automatic
ST1331 7 + 884475 885075 CUTs CUT160 CUT160 bothEndsMapped Automatic
ST1334 7 + 897291 897475 CUTs CUT161 CUT161 mapped5 Automatic
ST1344 7 + 920419 920555 CUTs CUT162 CUT162 mapped5 Automatic
ST1356 7 + 962331 962834 CUTs CUT163 CUT163 bothEndsMapped Automatic
ST1360 7 + 974938 975762 CUTs CUT164 CUT164 bothEndsMapped Automatic
ST1366 7 + 995034 995610 CUTs CUT165 CUT165 mapped5 Automatic
ST1369 7 + 1000698 1000890 CUTs CUT166 CUT166 mapped5 Automatic
ST1374 7 + 1017970 1019554 CUTs CUT167 CUT167 bothEndsMapped Automatic
ST1378 7 + 1038794 1039298 CUTs CUT168 CUT168 bothEndsMapped Automatic
ST1385 7 + 1060746 1060962 CUTs CUT169 CUT169 mapped3 Automatic
ST1386 7 + 1065490 1065882 CUTs CUT170 CUT170 bothEndsMapped Automatic
ST1401 8 + 74810 75370 CUTs CUT171 CUT171 mapped5 Automatic
ST1404 8 + 77298 77418 CUTs CUT172 CUT172 mapped3 Automatic
ST1415 8 + 115506 115754 CUTs CUT173 CUT173 bothEndsMapped Automatic
ST1432 8 + 168290 168674 CUTs CUT174 CUT174 mapped3 Automatic
ST1433 8 + 170714 171410 CUTs CUT175 CUT175 bothEndsMapped Automatic
ST1434 8 + 171410 171762 CUTs CUT176 CUT176 mapped3 Automatic
ST1444 8 + 193826 194169 CUTs CUT177 CUT177 bothEndsMapped Automatic
ST1446 8 + 198578 199106 CUTs CUT178 CUT178 bothEndsMapped Automatic
ST1453 8 + 219009 219513 CUTs CUT179 CUT179 bothEndsMapped Automatic
ST1522 8 + 411546 411650 CUTs CUT180 CUT180 mapped3 Automatic
ST1523 8 + 411650 412330 CUTs CUT181 CUT181 mapped3 Automatic
ST1540 8 + 461884 462132 CUTs CUT182 CUT182 mapped3 Automatic
ST1557 8 + 501324 501956 CUTs CUT183 CUT183 bothEndsMapped Automatic
ST1558 8 + 501956 502356 CUTs CUT184 CUT184 mappedNone Automatic
ST1570 9 + 32601 32721 CUTs CUT185 CUT185 mapped3 Automatic
ST1589 9 + 100001 100385 CUTs CUT186 CUT186 bothEndsMapped Automatic
ST1590 9 + 100385 100897 CUTs CUT187 CUT187 mapped3 Automatic
ST1616 9 + 187953 188457 CUTs CUT188 CUT188 bothEndsMapped Automatic
ST1621 9 + 202849 204145 CUTs CUT189 CUT189 mapped3 Automatic
ST1622 9 + 212193 212449 CUTs CUT190 CUT190 mapped5 Automatic
ST1625 9 + 220969 221361 CUTs CUT191 CUT191 bothEndsMapped Automatic
ST1629 9 + 249473 249697 CUTs CUT192 CUT192 mapped5 Automatic
ST1635 9 + 264937 265057 CUTs CUT193 CUT193 mapped3 Automatic
ST1639 9 + 274089 274537 CUTs CUT194 CUT194 bothEndsMapped Automatic
ST1668 9 + 355553 356321 CUTs CUT195 CUT195 mapped3 Automatic
ST1697 10 + 31425 31825 CUTs CUT196 CUT196 mapped5 Automatic
ST1724 10 + 109802 110506 CUTs CUT197 CUT197 bothEndsMapped Automatic
ST1726 10 + 116690 117138 CUTs CUT198 CUT198 mapped5 Automatic
ST1728 10 + 117986 118954 CUTs CUT199 CUT199 bothEndsMapped Automatic
ST1731 10 + 134192 134664 CUTs CUT200 CUT200 bothEndsMapped Automatic
ST1732 10 + 134664 134872 CUTs CUT201 CUT201 mapped3 Automatic
ST1735 10 + 141392 141840 CUTs CUT202 CUT202 mappedNone Automatic
ST1736 10 + 141840 142680 CUTs CUT203 CUT203 mapped3 Automatic
ST1742 10 + 155008 155856 CUTs CUT204 CUT204 bothEndsMapped Automatic
ST1747 10 + 180800 180936 CUTs CUT205 CUT205 mapped3 Automatic
ST1748 10 + 182256 183208 CUTs CUT206 CUT206 bothEndsMapped Automatic
ST1750 10 + 186888 187208 CUTs CUT207 CUT207 bothEndsMapped Automatic
ST1759 10 + 209728 209888 CUTs CUT208 CUT208 mapped3 Automatic
ST1791 10 + 337528 338056 CUTs CUT209 CUT209 mapped5 Automatic
ST1792 10 + 338056 338192 CUTs CUT210 CUT210 mapped5 Automatic
ST1797 10 + 349296 349984 CUTs CUT211 CUT211 bothEndsMapped Automatic
ST1812 10 + 398896 399048 CUTs CUT212 CUT212 mapped3 Automatic
ST1815 10 + 413672 414088 CUTs CUT213 CUT213 bothEndsMapped Automatic
ST1830 10 + 458640 458856 CUTs CUT214 CUT214 mapped3 Automatic
ST1837 10 + 486560 486792 CUTs CUT215 CUT215 bothEndsMapped Automatic
ST1864 10 + 581792 582856 CUTs CUT216 CUT216 bothEndsMapped Automatic
ST1866 10 + 585648 585904 CUTs CUT217 CUT217 bothEndsMapped Automatic
ST1869 10 + 604480 604912 CUTs CUT218 CUT218 bothEndsMapped Automatic
ST1875 10 + 613040 613592 CUTs CUT219 CUT219 mapped3 Automatic
ST1888 10 + 643504 645104 CUTs CUT220 CUT220 bothEndsMapped Automatic
ST1893 10 + 664048 664456 CUTs CUT221 CUT221 mapped3 Automatic
ST1894 10 + 664456 664704 CUTs CUT222 CUT222 mapped3 Automatic
ST1895 10 + 664704 664896 CUTs CUT223 CUT223 mapped3 Automatic
ST1911 11 + 15881 16201 CUTs CUT224 CUT224 mapped3 Automatic
ST1917 11 + 30921 31153 CUTs CUT225 CUT225 bothEndsMapped Automatic
ST1920 11 + 38961 39121 CUTs CUT226 CUT226 mapped5 Automatic
ST1961 11 + 179316 179636 CUTs CUT227 CUT227 mapped5 Automatic
ST1976 11 + 222842 224778 CUTs CUT228 CUT228 bothEndsMapped Automatic
ST1983 11 + 245738 246274 CUTs CUT229 CUT229 bothEndsMapped Automatic
ST1985 11 + 255386 255659 CUTs CUT230 CUT230 bothEndsMapped Automatic
ST2015 11 + 327779 328819 CUTs CUT231 CUT231 bothEndsMapped Automatic
ST2017 11 + 334955 335507 CUTs CUT232 CUT232 bothEndsMapped Automatic
ST2018 11 + 335507 335907 CUTs CUT233 CUT233 mapped3 Automatic
ST2027 11 + 364244 364388 CUTs CUT234 CUT234 bothEndsMapped Automatic
ST2037 11 + 388740 389300 CUTs CUT235 CUT235 mappedNone Automatic
ST2038 11 + 389300 390276 CUTs CUT236 CUT236 mapped3 Automatic
ST2044 11 + 419844 421068 CUTs CUT237 CUT237 mapped3 Automatic
ST2050 11 + 439436 439756 CUTs CUT238 CUT238 bothEndsMapped Automatic
ST2056 11 + 454532 454860 CUTs CUT239 CUT239 mapped5 Automatic
ST2062 11 + 475732 476140 CUTs CUT240 CUT240 bothEndsMapped Automatic
ST2067 11 + 489540 490052 CUTs CUT241 CUT241 bothEndsMapped Automatic
ST2073 11 + 510428 510804 CUTs CUT242 CUT242 bothEndsMapped Automatic
ST2076 11 + 517413 517564 CUTs CUT243 CUT243 bothEndsMapped Automatic
ST2098 11 + 581180 581492 CUTs CUT244 CUT244 bothEndsMapped Automatic
ST2105 11 + 604077 604349 CUTs CUT245 CUT245 bothEndsMapped Automatic
ST2136 12 + 97825 99153 CUTs CUT246 CUT246 bothEndsMapped Automatic
ST2138 12 + 105401 105545 CUTs CUT247 CUT247 mapped3 Automatic
ST2139 12 + 109241 109665 CUTs CUT248 CUT248 bothEndsMapped Automatic
ST2161 12 + 185081 185457 CUTs CUT249 CUT249 bothEndsMapped Automatic
ST2162 12 + 187721 188793 CUTs CUT250 CUT250 bothEndsMapped Automatic
ST2163 12 + 193673 194377 CUTs CUT251 CUT251 mapped5 Automatic
ST2165 12 + 196841 197345 CUTs CUT252 CUT252 bothEndsMapped Automatic
ST2176 12 + 243609 243745 CUTs CUT253 CUT253 mapped3 Automatic
ST2180 12 + 248657 249329 CUTs CUT254 CUT254 mapped3 Automatic
ST2189 12 + 267857 268073 CUTs CUT255 CUT255 bothEndsMapped Automatic
ST2224 12 + 395177 395585 CUTs CUT256 CUT256 mapped3 Automatic
ST2226 12 + 396417 396921 CUTs CUT257 CUT257 mapped3 Automatic
ST2227 12 + 396921 397353 CUTs CUT258 CUT258 mapped3 Automatic
ST2230 12 + 404521 405089 CUTs CUT259 CUT259 bothEndsMapped Automatic
ST2234 12 + 415737 416385 CUTs CUT260 CUT260 mapped3 Automatic
ST2235 12 + 416385 416809 CUTs CUT261 CUT261 mappedNone Automatic
ST2243 12 + 434145 434281 CUTs CUT262 CUT262 mapped3 Automatic
ST2246 12 + 441569 442625 CUTs CUT263 CUT263 mapped3 Automatic
ST2247 12 + 445137 445545 CUTs CUT264 CUT264 bothEndsMapped Automatic
ST2269 12 + 542017 542489 CUTs CUT265 CUT265 bothEndsMapped Automatic
ST2304 12 + 660473 660649 CUTs CUT266 CUT266 mapped5 Automatic
ST2310 12 + 674449 675137 CUTs CUT267 CUT267 bothEndsMapped Automatic
ST2311 12 + 675697 676465 CUTs CUT268 CUT268 bothEndsMapped Automatic
ST2322 12 + 719681 719865 CUTs CUT269 CUT269 bothEndsMapped Automatic
ST2323 12 + 721785 722473 CUTs CUT270 CUT270 bothEndsMapped Automatic
ST2329 12 + 738145 738609 CUTs CUT271 CUT271 bothEndsMapped Automatic
ST2351 12 + 837607 838015 CUTs CUT272 CUT272 bothEndsMapped Automatic
ST2352 12 + 839735 840255 CUTs CUT273 CUT273 mapped5 Automatic
ST2374 12 + 899719 899895 CUTs CUT274 CUT274 mapped3 Automatic
ST2377 12 + 906703 907039 CUTs CUT275 CUT275 mapped5 Automatic
ST2380 12 + 911327 912471 CUTs CUT276 CUT276 mapped3 Automatic
ST2405 12 + 1028176 1028328 CUTs CUT277 CUT277 bothEndsMapped Automatic
ST2411 12 + 1041760 1042384 CUTs CUT278 CUT278 bothEndsMapped Automatic
ST2412 12 + 1042384 1043064 CUTs CUT279 CUT279 mapped3 Automatic
ST2419 13 + 14977 15465 CUTs CUT280 CUT280 bothEndsMapped Automatic
ST2421 13 + 23945 26105 CUTs CUT281 CUT281 bothEndsMapped Automatic
ST2434 13 + 57625 57873 CUTs CUT282 CUT282 mapped3 Automatic
ST2435 13 + 58873 59401 CUTs CUT283 CUT283 bothEndsMapped Automatic
ST2440 13 + 77993 78337 CUTs CUT284 CUT284 bothEndsMapped Automatic
ST2453 13 + 129809 130081 CUTs CUT285 CUT285 bothEndsMapped Automatic
ST2454 13 + 130081 130729 CUTs CUT286 CUT286 mapped3 Automatic
ST2463 13 + 147361 147537 CUTs CUT287 CUT287 mapped3 Automatic
ST2478 13 + 204449 205009 CUTs CUT288 CUT288 bothEndsMapped Automatic
ST2481 13 + 212265 212369 CUTs CUT289 CUT289 mapped3 Automatic
ST2492 13 + 239025 239225 CUTs CUT290 CUT290 mapped3 Automatic
ST2496 13 + 246937 247641 CUTs CUT291 CUT291 mapped5 Automatic
ST2509 13 + 286561 286745 CUTs CUT292 CUT292 mapped3 Automatic
ST2528 13 + 330449 330633 CUTs CUT293 CUT293 mapped5 Automatic
ST2535 13 + 348593 348809 CUTs CUT294 CUT294 bothEndsMapped Automatic
ST2536 13 + 348809 349457 CUTs CUT295 CUT295 mapped3 Automatic
ST2542 13 + 370761 371209 CUTs CUT296 CUT296 mapped5 Automatic
ST2548 13 + 391585 391825 CUTs CUT297 CUT297 bothEndsMapped Automatic
ST2553 13 + 405737 406241 CUTs CUT298 CUT298 bothEndsMapped Automatic
ST2575 13 + 493881 494777 CUTs CUT299 CUT299 bothEndsMapped Automatic
ST2578 13 + 501097 501417 CUTs CUT300 CUT300 bothEndsMapped Automatic
ST2591 13 + 534929 535689 CUTs CUT301 CUT301 bothEndsMapped Automatic
ST2592 13 + 535689 535977 CUTs CUT302 CUT302 mapped3 Automatic
ST2601 13 + 557489 557897 CUTs CUT303 CUT303 bothEndsMapped Automatic
ST2612 13 + 584321 585753 CUTs CUT304 CUT304 bothEndsMapped Automatic
ST2613 13 + 592969 593329 CUTs CUT305 CUT305 bothEndsMapped Automatic
ST2634 13 + 652601 652921 CUTs CUT306 CUT306 mapped3 Automatic
ST2635 13 + 652921 653049 CUTs CUT307 CUT307 mapped3 Automatic
ST2636 13 + 653049 653361 CUTs CUT308 CUT308 mappedNone Automatic
ST2655 13 + 715649 716497 CUTs CUT309 CUT309 mapped5 Automatic
ST2684 13 + 814377 815513 CUTs CUT310 CUT310 bothEndsMapped Automatic
ST2696 13 + 861457 861865 CUTs CUT311 CUT311 mapped5 Automatic
ST2699 13 + 864409 864897 CUTs CUT312 CUT312 mapped3 Automatic
ST2700 13 + 867329 867929 CUTs CUT313 CUT313 bothEndsMapped Automatic
ST2730 14 + 89451 89699 CUTs CUT314 CUT314 bothEndsMapped Automatic
ST2734 14 + 104275 104642 CUTs CUT315 CUT315 bothEndsMapped Automatic
ST2737 14 + 109123 109403 CUTs CUT316 CUT316 bothEndsMapped Automatic
ST2745 14 + 145515 145851 CUTs CUT317 CUT317 bothEndsMapped Automatic
ST2746 14 + 145851 146155 CUTs CUT318 CUT318 mapped3 Automatic
ST2750 14 + 168067 168619 CUTs CUT319 CUT319 bothEndsMapped Automatic
ST2753 14 + 174891 175235 CUTs CUT320 CUT320 bothEndsMapped Automatic
ST2759 14 + 198187 198515 CUTs CUT321 CUT321 bothEndsMapped Automatic
ST2768 14 + 217731 218395 CUTs CUT322 CUT322 bothEndsMapped Automatic
ST2771 14 + 229907 230027 CUTs CUT323 CUT323 bothEndsMapped Automatic
ST2772 14 + 234043 234187 CUTs CUT324 CUT324 mapped5 Automatic
ST2773 14 + 234187 234323 CUTs CUT325 CUT325 mapped5 Automatic
ST2779 14 + 245475 245611 CUTs CUT326 CUT326 mapped5 Automatic
ST2785 14 + 258435 258787 CUTs CUT327 CUT327 bothEndsMapped Automatic
ST2788 14 + 270747 271219 CUTs CUT328 CUT328 mapped3 Automatic
ST2799 14 + 302219 302651 CUTs CUT329 CUT329 mapped5 Automatic
ST2809 14 + 338003 338339 CUTs CUT330 CUT330 bothEndsMapped Automatic
ST2812 14 + 340947 341051 CUTs CUT331 CUT331 bothEndsMapped Automatic
ST2815 14 + 348763 349187 CUTs CUT332 CUT332 bothEndsMapped Automatic
ST2826 14 + 374331 374515 CUTs CUT333 CUT333 bothEndsMapped Automatic
ST2829 14 + 381099 381339 CUTs CUT334 CUT334 mapped5 Automatic
ST2841 14 + 417835 418155 CUTs CUT335 CUT335 bothEndsMapped Automatic
ST2869 14 + 498843 499123 CUTs CUT336 CUT336 bothEndsMapped Automatic
ST2871 14 + 500555 500683 CUTs CUT337 CUT337 mapped3 Automatic
ST2872 14 + 500683 500795 CUTs CUT338 CUT338 mapped3 Automatic
ST2883 14 + 533940 534092 CUTs CUT339 CUT339 mapped3 Automatic
ST2893 14 + 568308 569116 CUTs CUT340 CUT340 bothEndsMapped Automatic
ST2896 14 + 579036 579444 CUTs CUT341 CUT341 mapped5 Automatic
